#Id Score P-value
5468 1.000000 0.0
85441 0.712040 7.62e-05
247 0.629147 7.62e-05
2134 0.608979 7.62e-05
221895 0.533996 7.62e-05
26137 0.518372 7.62e-05
4488 0.341426 0.0001528
4929 0.330052 0.0001528
9326 0.329028 0.0001528
9603 0.324236 0.0001528
9214 0.320222 0.0001528
8031 0.313802 0.0002223
2168 0.310810 0.0002223
7141 0.310264 0.0002223
6857 0.310060 0.0002223
26287 0.309778 0.0002981
84885 0.304146 0.0002981
6257 0.300939 0.0002981
79842 0.290962 0.0002981
10002 0.290393 0.0002981
23764 0.288900 0.0002981
9925 0.284299 0.0002981
190 0.280603 0.0002981
113179 0.279854 0.0002981
84838 0.263238 0.0002981
7975 0.257648 0.0002981
4582 0.255118 0.0002981
225689 0.251503 0.0002981
195814 0.249095 0.0002981
9325 0.247804 0.0002981
10891 0.243951 0.0002981
115950 0.242954 0.0002981
9314 0.233193 0.0002981
8648 0.229534 0.0002981
60468 0.228150 0.0002981
2063 0.225615 0.0002981
92002 0.224396 0.0002981
221037 0.221327 0.0002981
8431 0.219808 0.0002981
51701 0.217983 0.0002981
4135 0.215221 0.0002981
3492 0.213583 0.0002981
10902 0.213171 0.0002981
51102 0.212944 0.0002981
8204 0.212285 0.0002981
284312 0.211214 0.0002981
688 0.209150 0.0004445
64324 0.208364 0.0004445
23019 0.204123 0.0004445
80032 0.204054 0.0004445
9612 0.204027 0.0004445
23054 0.201784 0.0004445
221504 0.200717 0.0004445
253980 0.199789 0.0004445
3159 0.199355 0.0004445
3832 0.198281 0.0004445
10499 0.196899 0.0004445
113201 0.195788 0.0004445
79812 0.195788 0.0004445
8202 0.195408 0.0004445
6256 0.193710 0.0004445
5469 0.191706 0.0004445
4793 0.190865 0.0004445
57409 0.190455 0.0004445
29109 0.189636 0.0005187
23426 0.187514 0.0005187
2308 0.187431 0.0005187
5495 0.187152 0.0005187
8721 0.187048 0.0005187
